time,test 1,test 2,test 3,test 4,test 5
seconds,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g,deacceleration - g
1.028235294,-0.018789411,0.004548194,-0.001309594,-0.009464732,-0.009464732
1.028647059,-0.016287811,-0.000142276,-0.005061934,0.003668575,0.003668575
1.029058824,-0.003779891,0.004548194,-0.005061934,0.005857463,0.005857463
1.029470588,0.013731201,0.006111684,-0.006938134,-0.005087002,-0.005087002
1.029882353,0.009978825,0.015492629,0.004318986,-0.005087002,-0.005087002
1.030294118,0.004975669,0.012365629,0.009947552,-0.002898102,-0.002898102
1.030705882,0.001223269,0.002984704,0.004318986,0.012424128,0.012424128
1.031117647,-0.006281491,0.001421212,0.000566606,0.018990758,0.018990758
1.031529412,-0.003779891,0.007675179,-0.012566734,0.008046349,0.008046349
1.031941176,-2.75E-05,-0.001705771,-0.001309594,-0.000709202,-0.000709202
1.032352941,-0.011284651,-0.004832771,0.000566606,-0.011653632,-0.011653632
1.032764706,-0.001278291,-0.009523221,0.008071364,-0.009464732,-0.009464732
1.033176471,-0.001278291,0.009238679,0.006195176,-0.000709202,-0.000709202
1.033588235,-0.005030691,0.015492629,0.011823746,0.008046349,0.008046349
1.034,-0.008783051,0.010802179,0.004318986,0.014613028,0.014613028
1.034411765,-0.002529091,-0.009523221,-0.003185794,0.008046349,0.008046349
1.034823529,0.007477229,-0.022031171,0.000566606,0.008046349,0.008046349
1.035235294,-2.75E-05,-0.025158121,-0.003185794,0.008046349,0.008046349
1.035647059,-0.010033851,-0.025158121,-0.018195274,0.014613028,0.014613028
1.036058824,-0.013786251,-0.017340671,-0.020071474,-0.000709202,-0.000709202
1.036470588,0.004975669,-0.015777171,0.000566606,-0.011653632,-0.011653632
1.036882353,0.026239109,-0.017340671,0.008071364,-0.013842532,-0.013842532
1.037294118,0.032493109,-0.011086721,0.011823746,-0.000709202,-0.000709202
1.037705882,0.024988349,0.009238679,0.011823746,0.001479691,0.001479691
1.038117647,0.022486749,0.013929129,0.0024428,-0.011653632,-0.011653632
1.038529412,0.014981993,0.007675179,0.004318986,-0.020409162,-0.020409162
1.038941176,0.002474069,0.002984704,0.004318986,-0.000709202,-0.000709202
1.039352941,-0.001278291,-0.000142276,0.0024428,0.014613028,0.014613028
1.039764706,-0.005030691,-0.014213671,0.000566606,0.018990758,0.018990758
1.040176471,0.002474069,-0.017340671,0.011823746,0.001479691,0.001479691
1.040588235,0.011229616,-0.001705771,0.017452286,-0.020409162,-0.020409162
1.041,0.002474069,0.013929129,0.006195176,-0.026975862,-0.026975862
1.041411765,0.003724869,0.021746579,0.008071364,-0.013842532,-0.013842532
1.041823529,-0.005030691,0.013929129,-0.005061934,-0.011653632,-0.011653632
1.042235294,-0.016287811,0.012365629,-0.016319074,-0.013842532,-0.013842532
1.042647059,-0.011284651,0.015492629,-0.010690534,-0.011653632,-0.011653632
1.043058824,-0.007532291,0.009238679,-0.008814334,-0.005087002,-0.005087002
1.043470588,0.002474069,0.017056129,0.006195176,-0.000709202,-0.000709202
1.043882353,0.006226429,0.021746579,-0.003185794,0.014613028,0.014613028
